procedure_code,RBCS_ID,RBCS_Cat,RBCS_Cat_Desc,RBCS_Cat_Subcat,RBCS_SubCat_Desc,RBCS_FamNumb,RBCS_Family_Desc,RBCS_Major_Ind,HCPCS_CD_ADD_DT,HCPCS_CD_END_DT,RBCS_Release_Year,RBCS_Reassigned,Final_CY_Prior_to_Reassignment
00640,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan2003,31Dec9999,2020,0,9999
00670,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00700,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00702,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00730,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00731,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan2018,31Dec9999,2020,0,9999
00732,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan2018,31Dec9999,2020,0,9999
00740,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec2017,2020,0,9999
00750,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00752,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00754,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00756,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00770,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00790,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00792,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00794,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00796,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00797,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan2002,31Dec9999,2020,0,9999
00800,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00802,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00810,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec2017,2020,0,9999
00811,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan2018,31Dec9999,2020,0,9999
00812,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan2018,31Dec9999,2020,0,9999
00813,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan2018,31Dec9999,2020,0,9999
00820,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00830,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00832,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00834,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan2003,31Dec9999,2020,0,9999
00836,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan2003,31Dec9999,2020,0,9999
00840,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00842,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00844,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00846,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00848,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00851,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan2002,31Dec9999,2020,0,9999
00860,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00862,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00864,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00865,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1996,31Dec9999,2020,0,9999
00866,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00868,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00870,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00872,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00873,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1991,31Dec9999,2020,0,9999
00880,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00882,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00902,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00904,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00906,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00908,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00910,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00912,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00914,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00916,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00918,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1990,31Dec9999,2020,0,9999
00920,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00921,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan2003,31Dec9999,2020,0,9999
00922,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00924,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00926,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00928,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00930,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00932,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00934,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00936,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00938,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00940,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00942,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00944,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00948,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00950,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
00952,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01112,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan2001,31Dec9999,2020,0,9999
01120,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01130,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01140,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01150,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01160,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01170,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01173,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan2004,31Dec9999,2020,0,9999
01180,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec2017,2020,0,9999
01190,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec2017,2020,0,9999
01200,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01202,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01210,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01212,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01214,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01215,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan2001,31Dec9999,2020,0,9999
01220,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01230,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01232,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01234,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01250,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01260,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01270,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01272,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01274,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01320,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01340,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01360,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01380,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01382,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01390,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01392,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01400,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01402,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01404,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01420,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01430,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01432,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01440,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01442,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01444,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01462,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01464,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01470,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01472,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01474,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01480,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01482,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01484,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01486,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01490,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01500,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01502,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01520,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01522,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01610,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01620,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01622,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01630,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01634,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01636,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01638,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01650,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01652,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01654,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01656,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01670,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01680,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec9999,2020,0,9999
01682,AA000N,A,Anesthesia,AA,Anesthesia,000,No RBCS Family,N,01Jan1989,31Dec2017,2020,0,9999
